country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,1,2,6,10,19
AGO,1998,1.0,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000184573,0.000184571,0.008109883,0.035723075,0.000709612,0.001420357,0.004457073,0.00386789,-0.002346659
AGO,1999,,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.00017406,0.000174059,0.002867341,0.00248188,0.004511114,0.004281422,0.002677875,-6.1791e-05,0.005953001
AGO,2000,,8.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.00015717,0.000157168,-0.012854397,0.001128996,-0.008141838,-0.007944598,-0.000461277,-0.000297453,-0.001007157
AGO,2001,,8.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000154071,0.000154071,-0.000834256,0.002560077,-4.2606e-05,-0.00301093,-0.002868054,-0.001417503,-0.001195197
AGO,2002,0.0,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000208579,0.000208585,0.005836621,0.10762416,0.000378014,0.000734412,0.000957123,0.000204466,-0.001865119
AGO,2003,0.0,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000271894,0.000271888,0.000478581,-0.006492533,0.000436964,-0.002888877,-0.001291034,-0.000235818,0.004068605
AGO,2004,0.0,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000297628,0.000297628,0.006021097,0.06663615,0.00063024,-0.002069503,4.35e-06,-0.00017154,0.001472345
AGO,2005,0.0,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000273481,0.000273485,0.009851068,0.16082366,0.000587705,0.001111188,0.000789643,8.5976e-05,-0.003863107
AGO,2006,,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,,0.000241242,0.000241239,-0.02067849,0.14495759,0.002570844,0.00128323,0.001167074,0.000870398,0.000171713
AGO,2007,,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,,0.000223279,0.000223281,0.005931601,0.16370665,-0.003278224,-0.003861178,-0.002328532,-0.001351902,0.000303784
AGO,2008,,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,,0.000215992,0.00021599,0.011607692,0.09509341,-0.000963604,-0.001553373,-0.000939942,-0.000500647,0.000674581
ALB,1991,0.0,7.0,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,-0.004148493,-0.007079466,-0.001381191,-0.000149325,-0.005184254
ALB,1992,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,9.75e-05,9.75e-05,0.011710435,-0.10759608,0.004747172,0.002737505,0.002173592,-0.00046636,0.004595471
ALB,1993,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,7.53e-05,7.53e-05,-0.001443625,0.061179988,0.000343696,0.00377462,0.004708443,0.000306841,-0.00146671
ALB,1994,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,7.95e-05,7.95e-05,0.000550196,0.047825813,-0.002059944,0.002413901,0.003351049,7.4778e-05,5.166e-05
ALB,1995,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,6.52e-05,6.52e-05,-0.004463524,0.099045984,0.000481925,0.001429245,0.004168932,-1.227e-05,0.002074832
ALB,1996,0.0,7.0,0.005,,0.002204,0.004719,0.000399,0.0,0.0,4.17e-05,4.17e-05,0.001653731,0.059864424,-0.003466976,-0.004527158,-0.001680107,-6.0634e-05,-0.002400958
ALB,1997,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,3.89e-05,3.89e-05,-0.006395802,-0.1320788,0.001062145,0.004316964,0.001285397,0.000142822,0.001661452
ALB,1998,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,3.84e-05,3.84e-05,0.010252938,0.096085116,-0.000429711,-0.002065346,0.000578031,6.8173e-05,-0.000932235
ALB,1999,0.0,7.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,4.71e-05,4.71e-05,0.000647575,0.06922918,0.007895211,0.000327373,0.002288044,1.4479e-05,0.00187671
