,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff,country
71,1991,-0.0024922934857905,0.000879101368386,0.0004871242700851,2.296898190165845e-05,-0.0001037267109784,0.0,7.0,-0.00194426,0.08503321,0.037858047,0.1669678,0.008,0.03966511,0.001867,0.002357,0.000553,0.0,0.0,0.000285611,0.000285611,-0.005542085,-0.008027147,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0431286961465824,-0.0009799901492274,50
73,1991,0.0004978384568554,0.0071070362511839,0.0023401053497265,0.0001635933201315,0.0009655082102549,0.0,7.0,-0.01702563,0.08764678,0.054483127,0.1669678,0.0015,0.027343675,0.00095,0.004704,,0.0,0.0,0.000181206,0.000181209,-0.005542085,-0.011350479,-0.007,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0457456397543216,8.083556476600612e-05,52
74,1991,0.0019928641448205,0.0053443552939964,0.0036510835937919,0.0042549524582862,0.0024792112855602,0.0,7.0,-0.118375875,0.092461646,0.04720687,0.16392769,0.01,-0.095670156,0.001522,0.005244,0.000297,0.0,0.0,-6.89e-06,-6.89e-06,-0.002113208,-0.14381711,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0465415137396062,-0.0006484664527623,53
75,1991,0.0027125733353415,0.0005058695512761,-0.008170849705873,0.0011140096237714,0.0014040339835314,0.0,7.0,0.03499538,0.12113397,0.046032727,0.15959682,0.0015,0.023513753,0.007351,0.00234,0.00768,0.0,1.0,0.000164509,0.000164505,-0.006785229,0.008659625,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0582337432237732,0.0036710799680586,54
77,1991,0.0028056335636712,6.673888672585615e-05,0.0011874651173608,0.0061118563282786,-2.140870227863162e-05,0.0,7.0,0.012780044,0.08169272,0.039367605,0.16392769,0.01,-0.095670156,0.001206,0.00155,0.000312,0.01,0.0,6.41e-05,6.41e-05,-0.002113208,-0.017086694,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0415671991223227,-0.0004115082036151,56
78,1991,1.4652897127629544e-05,0.000919528516515,0.0024405281461639,-0.0001313971725788,-0.0002075040429449,0.0,7.0,0.06615053,0.10981669,0.0358166,0.15959682,0.002,0.0364545,0.006684,0.001152,0.007462001,0.0,1.0,0.000366911,0.000366915,-0.006785229,0.037660595,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.126537681387321,-0.0021065882552042,57
81,1991,-0.0022444808136707,-0.0019912690416285,-0.0017667565801684,0.0042718431445789,-0.0027903872744427,0.0,7.0,0.018036934,0.084444806,0.05432383,0.15959682,0.0095,0.005306283,0.003436,0.003469,0.005525,0.01,0.0,0.000375919,0.000375915,-0.006785229,-0.015156193,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0481159720503502,-0.0008646242953603,59
82,1991,-0.0009486705275717,-0.0005921054021919,-0.0005414636129854,-0.0002580873721491,-0.0006018094130392,0.0,7.0,0.01381987,0.10946366,0.052627183,0.16392769,0.01,0.031000923,0.001145,0.003027,0.001147,0.0,0.0,8.05e-07,8.05e-07,-0.002113208,-0.011809174,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0579931406646626,2.4863853295101213e-05,60
83,1991,0.0022804676532846,0.0062096173248318,0.0019071878036297,0.0003990037537946,0.0027314455530716,0.0,7.0,-0.001522104,0.077658415,0.053834293,0.1669678,0.01,0.010296194,0.004129,0.00616,0.001098,0.01,0.0,4.56e-05,4.56e-05,-0.005542085,-0.021222293,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.047989436618787,0.0004516375838182,61
84,1991,0.0013590692179701,-0.0004330071918049,0.0005629968296725,5.813645182320046e-05,0.0012680671829826,0.0,7.0,-0.080854185,0.08197162,0.036756888,0.15959682,0.003,0.026532419,0.005926,0.000659,0.000396,0.0,0.0,0.001070499,0.001070499,-0.006785229,-0.104980156,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0391365477114615,-0.0030788113339777,62
