,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,code3,year,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
11270,0.0,,,0.0,0.0,,,ABW,1999.0,7.0,,,,0.17840567,,,,0.004107,0.003889,,0.0,,,,0.0023531616,
11271,0.0,,,0.0,0.0,,,ABW,2000.0,8.0,,,,0.16618782,,,,0.004107,0.003889,,0.0,,,,-0.0122178495,
11272,0.0,,,0.0,0.0,,,ABW,2001.0,8.0,,,,0.16482581,,,,0.004107,0.003889,,0.0,,,,-0.0013620108,
11273,0.0,,,0.0,0.0,,,ABW,2002.0,8.0,,,,0.1710447,,,,0.004107,0.003889,,0.0,,,,0.0062188953,
11274,0.0,,,0.0,0.0,,,ABW,2003.0,8.0,,,,0.17277542,,,,0.004107,0.003889,,0.0,,,,0.0017307103,
11275,0.0,,,0.0,0.0,,,ABW,2004.0,8.0,,,,0.17783023,,,,0.004107,0.003889,,0.0,,,,0.0050548166,
11276,0.0,,,0.0,0.0,,,ABW,2005.0,8.0,,,,0.18731844,,,,0.004107,0.003889,,0.0,,,,0.00948821,
11277,,,,0.0,0.0,,,ABW,2006.0,8.0,,,,0.16697896,,,,0.004107,0.003889,,,,,,-0.020339489,
11278,,,,0.0,0.0,,,ABW,2007.0,8.0,,,,0.17194954,,,,0.004107,0.003889,,,,,,0.0049705803,
11279,,,,0.0,0.0,,,ABW,2008.0,8.0,,,,0.18447804,,,,0.004107,0.003889,,,,,,0.012528509,
0,0.0,,,,,,,AFG,1929.0,,,,,0.12795348,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,,
1,0.0,,,,,0.0,,AFG,1930.0,1.0,,,,0.0324957,0.002,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.095457785,
2,0.0,,,,,0.0,,AFG,1931.0,1.0,,,,0.0324957,0.002,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.0,
3,0.0,,,,,0.0,,AFG,1932.0,1.0,,,,0.0324957,0.002,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.0,
4,0.0,,,,,0.0,,AFG,1933.0,1.0,,,,0.12784405,0.002,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.09534835,
5,0.0,,,,,0.5,,AFG,1934.0,1.0,,,,0.0324957,0.002,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.09534835,
6,0.0,,,,,0.5,,AFG,1935.0,1.0,,,,0.10824122,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.07574552,
7,0.0,,,,,0.5,,AFG,1936.0,1.0,,,,0.120567426,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.012326203,
8,0.0,,,,,0.5,,AFG,1937.0,1.0,,,,0.15083759,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.03027016,
9,0.0,,,,,0.5,,AFG,1938.0,1.0,,,,0.14682727,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.0040103197,
10,0.0,,,,,0.5,,AFG,1939.0,1.0,,,,0.15813154,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.011304274,
11,0.0,,,,,0.5,,AFG,1940.0,2.0,,,,0.12759826,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.030533284,
12,0.0,,,,,0.5,,AFG,1941.0,2.0,,,,0.0324957,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.095102556,
13,0.0,,,,,0.5,,AFG,1942.0,2.0,,,,0.12254007,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.09004437,
14,0.0,,,,,0.5,,AFG,1943.0,2.0,,,,0.15754011,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.03500004,
15,0.0,,,,,0.33333334,,AFG,1944.0,2.0,,,,0.1339867,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.023553416,
16,0.0,,,,,0.33333334,,AFG,1945.0,2.0,,,,0.0324957,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.101491,
17,0.0,,,0.0,0.0,0.25,,AFG,1946.0,2.0,,,,0.11982517,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.08732947,
