country,t,outp,outpd%,outptt%
BDI,1999,41.01993561,0.865938923,0.093620497
BDI,2000,35.91027854,0.842238167,0.10791218
BDI,2001,34.42980381,0.841921597,0.10899923
BDI,2002,33.18648443,0.834883302,0.11380333
BDI,2003,32.3071684,0.817465059,0.125950944
BDI,2004,37.76251938,0.816887892,0.125584796
BDI,2005,39.6593791,0.773357117,0.154127947
BDI,2006,48.46970516,0.769438794,0.155965508
BDI,2007,49.9164458,0.764129875,0.158915823
BDI,2008,59.89899472,0.748193656,0.167119276
BEL,1990,11262.17321,0.25772511,0.34480077
BEL,1991,11610.96556,0.255812407,0.343466528
BEL,1992,13041.89428,0.252564595,0.342396679
BEL,1993,12218.24783,0.26881785,0.342946708
BEL,1994,13425.27848,0.259542707,0.341347654
BEL,1995,15987.54857,0.247849129,0.338089476
BEL,1996,15767.52391,0.239190369,0.337094079
BEL,1997,14661.62824,0.218498005,0.335984781
BEL,1998,14864.94605,0.224681371,0.338366256
BEL,1999,15033.41901,0.219834036,0.339102499
BEL,2000,14421.24435,0.199551531,0.33191949
BEL,2001,14430.72499,0.1907655,0.329335662
BEL,2002,15467.18072,0.196200834,0.331432824
BEL,2003,19069.69375,0.193236241,0.330493687
BEL,2004,22628.86038,0.179264484,0.323686599
BEL,2005,24096.3313,0.170070897,0.319728338
BEL,2006,26580.53122,0.152418902,0.306888569
BEL,2007,30962.31216,0.145931194,0.300397204
BEL,2008,34949.25933,0.13911709,0.29304585
BEN,1990,58.31126159,0.793238544,0.150981
BEN,1991,60.23602961,0.784099943,0.157615706
BEN,1992,67.65300435,0.774390004,0.163793381
BEN,1993,68.44040013,0.778599984,0.161780949
BEN,1994,49.17402411,0.685214432,0.218684019
BEN,1995,69.00534211,0.703942171,0.205593267
BEN,1996,75.70904223,0.717636629,0.197316448
BEN,1997,73.65288309,0.703966717,0.204512583
BEN,1998,80.95688841,0.723950694,0.190882626
BEN,1999,85.46192238,0.722063733,0.1906145
BEN,2000,89.16814054,0.721863615,0.184518481
BEN,2001,95.4126335,0.732378747,0.17969909
BEN,2002,107.8140463,0.742450126,0.174043967
BEN,2003,135.4779057,0.752628106,0.170241213
BEN,2004,154.8639259,0.75643466,0.167429473
BEN,2005,167.7647623,0.753130964,0.169047206
BEN,2006,182.9541747,0.751051061,0.1682766
