country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,outp,gross_output,trans_outp_p
DNK,1991,0.002018295,0.005282108,0.001983597,0.006111877,0.000722276,0.0,7,0.01037085,0.08547597,0.048005898,0.16392769,0.01,-0.095670156,0.000819,0.002333,0.001049,0.0,0.0,2.6e-05,2.6e-05,-0.002113208,-0.011074436,0.666666667,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,13745.85715,443111.1095,0.031021242
DOM,1991,-0.002636422,-0.000655009,-0.000107152,-0.001237855,-0.002652198,0.0,7,-0.011539023,0.08885026,0.050059393,0.1669678,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.000195734,0.00019573,-0.005542085,-0.038341284,-0.2,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,618.201229,18320.51663,0.033743657
DZA,1991,0.000227456,0.000440461,-3.21e-05,0.000794982,-0.000104841,0.0,7,-0.035002682,0.101537436,0.023781568,0.16698153,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.000235572,0.000235572,-0.00549379,-0.053634264,-0.555555556,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,2959.304335,75232.14767,0.039335635
ECU,1991,0.003379767,0.000981899,0.001497293,0.00260673,0.000769067,0.0,7,0.038819496,0.092523456,0.03628906,0.1669678,0.0095,0.03637586,0.00655,0.001417,0.001308,0.0,1.0,0.000106968,0.000106968,-0.005542085,0.021536643,0.583333333,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1791.035806,20451.10542,0.087576479
EGY,1991,0.000470655,0.000342874,0.000209046,0.00250781,0.001074886,0.0,7,-0.05607751,0.10970422,0.040672265,0.16698153,0.002,0.0,0.001836,0.001979,0.000237,0.0,0.0,0.000251882,0.000251878,-0.00549379,-0.08111934,-0.733333333,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,2119.215888,66718.18732,0.031763691
ERI,1991,0.000117594,-0.006942387,-0.000566513,-0.000910025,0.000148608,0.0,7,,,,0.16698153,,,0.006524,0.004253,0.00653,,0.0,,,-0.00549379,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,58.8932059,1092.347277,0.053914361
ESP,1991,0.000341723,0.00191511,0.000822855,0.010041393,0.000247205,0.0,7,0.022584591,0.10583079,0.04369387,0.16392769,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.81e-05,2.81e-05,-0.002113208,-0.004291508,5.666666667,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,41185.14912,1948158.544,0.021140553
EST,1991,-0.012535635,-0.013977058,-0.010563623,-0.083683463,-0.02064484,0.0,7,-0.09435895,0.07352151,0.035860557,0.16392769,0.008,,0.005062,0.004985,0.004944,0.0,0.0,-6.25e-05,-6.25e-05,-0.002113208,-0.13138756,-0.2,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1150.851992,10319.47883,0.111522298
ETH,1991,-0.000283034,-0.000897874,-3.38e-05,-0.000320387,-9.64e-05,,7,,,,0.16698153,0.005,0.042541932,0.007235,0.006249,0.008072999,0.0,0.0,,,-0.00549379,,-0.473684211,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,755.0566385,20126.46474,0.037515612
FIN,1991,-0.000337773,0.000430554,0.000430494,0.007659269,0.000927007,0.0,7,-0.06898093,0.08519947,0.028013643,0.16392769,0.01,-0.017719569,0.001315,0.002531,0.001412,0.0,0.0,5.47e-05,5.47e-05,-0.002113208,-0.09743617,0.818181818,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,12487.41809,444288.1793,0.028106573
