country,t,1.0,2.0,6.0,10.0,19.0,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec
ANT,2004.0,0.005554698,0.00555511,0.868695303,-0.076860292,0.001772762,0.0,8.0,,,,0.17783023,,,,0.003866,0.002508,,0.0
ANT,2005.0,2.07e-05,2.12e-05,0.007794067,0.007759391,0.000837557,0.0,8.0,,,,0.18731844,,,,0.003866,0.002508,,0.0
ANT,2006.0,-4.99e-05,-5.06e-05,-0.205535126,0.016729926,0.002765535,,8.0,,,,0.16697896,,,,0.003866,0.002508,,
ANT,2007.0,0.001432791,0.001433124,-0.156522273,0.015764456,0.001519747,,8.0,,,,0.17194954,,,,0.003866,0.002508,,
ANT,2008.0,0.000421092,0.00042067,0.1509409,-0.004654371,0.001222919,,8.0,,,,0.18447804,,,,0.003866,0.002508,,
ARE,1991.0,-0.005505832,-0.006554129,-0.008801284,-0.000904471,-0.014416037,0.0,7.0,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1992.0,-0.000138413,0.000985868,-0.000699749,-0.00021818,0.00020038,0.0,7.0,-0.032733947,0.076286584,0.032026146,0.17415069,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1993.0,-0.001039682,-0.001324515,-0.001766213,-0.000335827,-0.002636931,0.0,7.0,-0.067034476,0.076890044,0.03262961,0.16921195,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1994.0,0.000274689,-0.002145109,0.000159993,0.000462031,0.000757065,0.0,7.0,0.022477165,0.0774897,0.03322926,0.17487785,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1995.0,0.001108714,0.000967651,0.001188964,0.000227106,0.002207125,0.0,7.0,0.018103685,0.07807095,0.033810515,0.16840482,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1996.0,-0.000475359,-0.001399412,-0.000812448,-0.000405339,-0.000693065,0.0,7.0,0.004417979,0.07863105,0.034370612,0.15807389,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1997.0,-0.000338881,0.004455933,-6.68e-05,-0.00049196,0.000175402,0.0,7.0,0.009783412,0.07918022,0.03491978,0.16461685,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1998.0,-0.000571871,0.003624941,-0.001455686,-0.000145961,-0.002300062,0.0,7.0,-0.014097312,0.0797195,0.035459064,0.16525303,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,1999.0,0.000752889,0.00156291,0.001762308,0.000582861,0.001579559,0.0,7.0,-0.022170357,0.080248885,0.035988446,0.17285785,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2000.0,0.002596867,-0.001347949,0.002105788,0.000942835,0.002290513,0.0,8.0,0.06702402,0.08076918,0.036508746,0.16520521,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2001.0,0.000265671,0.002764787,0.00316787,0.000517221,0.002715616,0.0,8.0,-0.033438616,0.08127797,0.037017528,0.16047455,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2002.0,0.000107022,-0.001390605,-4.95e-05,3.88e-05,-0.001860399,0.0,8.0,-0.02325535,0.08176982,0.037509378,0.16952968,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
