country,t,outp
BRN,2007,1161.986499
BRN,2008,1403.1003
BTN,1990,24.71938775
BTN,1991,21.73577029
BTN,1992,22.51242008
BTN,1993,21.37808252
BTN,1994,23.08469871
BTN,1995,26.26005032
BTN,1996,27.80318503
BTN,1997,32.30861048
BTN,1998,31.90513339
BTN,1999,34.97615704
BTN,2000,34.88136167
BTN,2001,40.27314336
BTN,2002,45.06188859
BTN,2003,52.79581151
BTN,2004,61.37508582
BTN,2005,71.71586139
BTN,2006,86.9082404
BTN,2007,117.1068244
BTN,2008,127.7563474
BWA,1990,178.4705657
BWA,1991,188.0391549
BWA,1992,201.1154914
BWA,1993,202.1276249
BWA,1994,214.1236081
BWA,1995,243.3227878
BWA,1996,254.7480531
BWA,1997,275.662345
BWA,1998,285.9382061
BWA,1999,311.9895359
BWA,2000,320.9092935
BWA,2001,303.6647278
BWA,2002,303.578529
BWA,2003,407.8514675
BWA,2004,509.3683488
BWA,2005,528.5452099
BWA,2006,549.3502748
BWA,2007,614.2989684
BWA,2008,641.9026058
CAF,1990,137.6755583
CAF,1991,131.9741248
CAF,1992,135.7222946
CAF,1993,121.7510476
CAF,1994,85.56917247
CAF,1995,113.5166695
CAF,1996,103.6197565
CAF,1997,92.32866216
CAF,1998,91.81207025
CAF,1999,92.50270558
CAF,2000,84.44202971
CAF,2001,86.97803947
CAF,2002,91.41955541
CAF,2003,108.7177077
CAF,2004,125.366605
CAF,2005,133.8416137
CAF,2006,154.9380018
CAF,2007,180.8852972
CAF,2008,208.6233893
CAN,1990,52615.85523
CAN,1991,53692.40398
CAN,1992,52654.12705
CAN,1993,51924.72124
CAN,1994,51755.42996
CAN,1995,52394.86342
CAN,1996,56431.08453
CAN,1997,60456.94359
CAN,1998,60311.11253
CAN,1999,65165.60217
CAN,2000,71668.06126
CAN,2001,71523.88941
CAN,2002,73079.39921
CAN,2003,84413.70379
CAN,2004,97975.02126
CAN,2005,110056.2897
CAN,2006,123535.9761
CAN,2007,137501.8539
CAN,2008,146382.9217
CHE,1990,11852.349
CHE,1991,12453.33549
CHE,1992,13392.32464
CHE,1993,13408.53374
CHE,1994,15070.00946
CHE,1995,17964.56789
CHE,1996,17677.85286
CHE,1997,16514.40993
CHE,1998,16416.17412
CHE,1999,16695.59924
CHE,2000,16643.30235
CHE,2001,17373.50788
CHE,2002,18474.55212
CHE,2003,21723.25298
CHE,2004,25716.39048
CHE,2005,27883.16776
CHE,2006,31339.33318
CHE,2007,36310.72782
CHE,2008,42265.61594
CHL,1990,4393.066808
CHL,1991,5008.551578
CHL,1992,6083.975188
CHL,1993,6467.105767
CHL,1994,7372.409775
CHL,1995,9337.229545
CHL,1996,9807.801458
CHL,1997,11322.61668
CHL,1998,10997.18549
CHL,1999,10152.26305
CHL,2000,10219.24813
CHL,2001,9674.916962
CHL,2002,9459.824297
CHL,2003,10410.81318
CHL,2004,13551.56919
CHL,2005,16695.04982
CHL,2006,20704.27088
CHL,2007,23424.23933
CHL,2008,25129.32031
CHN,1990,26908.42328
CHN,1991,30993.26426
CHN,1992,37138.46765
CHN,1993,37696.48949
CHN,1994,35102.51576
CHN,1995,43897.59574
CHN,1996,64465.78538
CHN,1997,66570.35395
CHN,1998,101187.4851
CHN,1999,107216.6928
CHN,2000,115620.3263
CHN,2001,129388.4128
CHN,2002,147228.9621
CHN,2003,168356.8824
CHN,2004,200410.0882
CHN,2005,292205.9832
CHN,2006,349336.8792
CHN,2007,443678.8168
CHN,2008,568732.3368
CIV,1990,817.391095
CIV,1991,786.7539843
CIV,1992,838.3361057
CIV,1993,763.926241
CIV,1994,588.5677106
CIV,1995,779.1302548
CIV,1996,855.5239128
CIV,1997,830.1801224
CIV,1998,902.5623596
CIV,1999,903.6246857
CIV,2000,793.3271151
CIV,2001,845.0862404
CIV,2002,930.5054911
CIV,2003,1176.355488
CIV,2004,1347.032464
CIV,2005,1423.904244
CIV,2006,1515.398784
CIV,2007,1737.547483
CIV,2008,2057.44701
CMR,1990,1037.70517
CMR,1991,983.2698878
CMR,1992,1039.68107
CMR,1993,1083.669005
CMR,1994,660.305614
CMR,1995,816.6366935
CMR,1996,862.245387
CMR,1997,804.7846397
CMR,1998,849.3951263
CMR,1999,863.7085088
CMR,2000,788.0947049
CMR,2001,840.6351553
CMR,2002,936.9323864
CMR,2003,1196.999601
CMR,2004,1417.375122
CMR,2005,1503.408896
CMR,2006,1698.177914
CMR,2007,1975.175692
CMR,2008,2274.346103
COD,1990,1464.102578
COD,1991,1467.753862
COD,1992,1344.269818
COD,1993,1758.599661
COD,1994,976.7900176
COD,1995,961.8908428
COD,1996,956.8109235
COD,1997,1052.725477
COD,1998,1162.084154
COD,1999,1029.796526
COD,2000,1000.429475
COD,2001,946.2791729
COD,2002,987.4434199
COD,2003,997.8836586
COD,2004,1164.722582
COD,2005,1317.320547
COD,2006,1599.494854
COD,2007,1856.450117
COD,2008,2232.116801
COG,1990,288.2141522
COG,1991,286.165785
COG,1992,310.5425113
COG,1993,290.1158464
COG,1994,208.0564148
COG,1995,242.8592363
COG,1996,277.9570776
COG,1997,259.8038712
COG,1998,222.2834969
COG,1999,257.9617519
COG,2000,326.0769412
COG,2001,300.9078306
COG,2002,323.0691188
COG,2003,378.3790654
COG,2004,489.4447362
COG,2005,610.1148987
COG,2006,764.8876808
COG,2007,799.4590286
COG,2008,1082.621925
COL,1990,5231.267979
COL,1991,5397.518735
COL,1992,5838.568275
COL,1993,6744.895944
COL,1994,8833.093623
COL,1995,10205.57217
COL,1996,10697.80275
COL,1997,11744.46478
COL,1998,10979.99043
COL,1999,9642.470773
COL,2000,9262.341975
COL,2001,6595.332657
COL,2002,6334.866659
COL,2003,6431.515576
COL,2004,7453.7412
COL,2005,8972.545709
COL,2006,9894.502284
COL,2007,12315.78142
COL,2008,14648.58117
CPV,1990,38.26503332
CPV,1991,40.36230686
CPV,1992,44.61305674
CPV,1993,43.56250201
CPV,1994,48.55283624
CPV,1995,57.39070508
CPV,1996,56.64362428
CPV,1997,51.6437672
CPV,1998,52.0774323
CPV,1999,57.56415517
CPV,2000,49.47208224
CPV,2001,55.19998669
CPV,2002,61.55814063
CPV,2003,83.71891007
CPV,2004,99.96930419
CPV,2005,106.6772898
CPV,2006,127.5944848
CPV,2007,154.9804119
CPV,2008,182.3891763
CRI,1990,567.5608487
CRI,1991,567.8499034
CRI,1992,684.9344674
CRI,1993,773.4192979
CRI,1994,854.3904922
CRI,1995,958.4484557
CRI,1996,987.9700509
CRI,1997,1067.204449
CRI,1998,1193.319983
CRI,1999,1322.697657
CRI,2000,1360.914356
CRI,2001,1394.682574
CRI,2002,1430.745509
CRI,2003,1521.445175
CRI,2004,1654.259723
CRI,2005,1822.028084
CRI,2006,2080.692182
CRI,2007,2442.08389
CRI,2008,2791.68105
CUB,1990,1634.197307
CUB,1991,1413.691368
CUB,1992,1297.494303
CUB,1993,1310.828614
CUB,1994,1671.391037
CUB,1995,1799.200677
CUB,1996,1422.522737
CUB,1997,1449.048268
CUB,1998,1536.179905
CUB,1999,1703.642802
CUB,2000,1851.195027
CUB,2001,1853.668328
CUB,2002,1929.451994
CUB,2003,2017.180452
CUB,2004,2131.62659
CUB,2005,2341.076105
CUB,2006,2796.828627
CUB,2007,3067.524207
CUB,2008,3247.078046
CYM,1990,78.50268432
CYM,1991,79.57953262
CYM,1992,93.44380698
CYM,1993,99.29873468
CYM,1994,107.2601685
CYM,1995,115.8430284
CYM,1996,124.7785737
CYM,1997,133.8648885
CYM,1998,172.5929739
CYM,1999,184.3051809
CYM,2000,188.928998
CYM,2001,197.06987
CYM,2002,204.7345201
CYM,2003,216.4029821
CYM,2004,232.0980716
CYM,2005,265.5185194
CYM,2006,249.1256192
CYM,2007,279.9717329
CYM,2008,288.7496159
CYP,1990,347.8473444
CYP,1991,368.2672028
CYP,1992,440.0850996
CYP,1993,411.1373613
CYP,1994,461.7598353
CYP,1995,562.426727
CYP,1996,583.2646246
CYP,1997,570.4974898
CYP,1998,635.5043646
CYP,1999,657.3396484
CYP,2000,626.924151
CYP,2001,662.0558137
CYP,2002,716.9967124
CYP,2003,892.5658274
CYP,2004,1070.131729
CYP,2005,1157.499217
CYP,2006,1295.228231
CYP,2007,1563.316706
CYP,2008,1871.577289
CZE,1990,5812.289999
CZE,1991,4302.818529
CZE,1992,5079.446434
CZE,1993,5893.548036
CZE,1994,6803.820342
CZE,1995,8548.410434
CZE,1996,9562.084592
CZE,1997,8828.434566
CZE,1998,9546.38846
