country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19
CUB,1991,-0.011430265,-0.014409599,-0.012543526,-0.006524491,-0.006180949,0.0,7,-0.124161415,0.092696466,0.045613784,0.1669678,0.0015,,0.005908,0.005059,,0.0,0.0,9.28e-05,9.28e-05,-0.005542085,-0.13902733,-0.85,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CYM,1991,-0.00432918,-0.007108523,-0.004136945,0.020720316,-0.005661439,0.0,7,,,,0.1669678,,,,,,,0.0,,,-0.005542085,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CYP,1991,-0.005284481,-0.010331873,-0.003596498,-0.007540573,-0.003923614,0.0,7,,,,0.15959682,0.01,0.021972246,0.000939,0.003962,0.003962,0.01,0.0,,,-0.006785229,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CZE,1991,0.032358621,0.01353991,0.043769204,0.023157997,0.026326465,,7,-0.11577595,0.092404,0.048930164,0.16392769,,,0.003222,0.006591,0.003233,,,-4.22e-06,-4.22e-06,-0.002113208,-0.13737428,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
DEU,1991,0.001134127,0.003929137,0.001614367,0.002537227,0.000684557,0.0,7,0.045243565,0.11289585,0.054338742,0.16392769,0.01,0.006931472,0.001682,0.006571,0.001642,0.0,0.0,7.58e-05,7.58e-05,-0.002113208,0.020464532,0.111111111,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
DJI,1991,-0.001876743,-0.071288598,-0.011212487,-0.006102161,-0.001588421,0.0,7,-0.0194776,0.05927531,0.027929068,0.16698153,0.001,0.013609766,0.007962,0.000435,0.006558,0.0,0.0,0.000246573,0.000246573,-0.00549379,-0.017349932,-0.9,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
DNK,1991,0.006976862,0.003653891,0.0088632,0.008165278,0.003698008,0.0,7,0.01037085,0.08547597,0.048005898,0.16392769,0.01,-0.095670156,0.000819,0.002333,0.001049,0.0,0.0,2.6e-05,2.6e-05,-0.002113208,-0.011074436,0.666666667,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
DOM,1991,-0.004641431,-0.001729568,0.018127358,0.005983254,0.002864448,0.0,7,-0.011539023,0.08885026,0.050059393,0.1669678,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.000195734,0.00019573,-0.005542085,-0.038341284,-0.2,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
DZA,1991,0.007675204,0.001179075,0.015622293,0.006166365,0.017592067,0.0,7,-0.035002682,0.101537436,0.023781568,0.16698153,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.000235572,0.000235572,-0.00549379,-0.053634264,-0.555555556,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ECU,1991,0.003957524,0.003873024,0.009110872,0.003567417,-0.001110567,0.0,7,0.038819496,0.092523456,0.03628906,0.1669678,0.0095,0.03637586,0.00655,0.001417,0.001308,0.0,1.0,0.000106968,0.000106968,-0.005542085,0.021536643,0.583333333,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
