country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,trans_outp,gross output,trans_outp_p,avgs1,avgs2,avgs6,avgs10,avgs19
CMR,1991,0.003105048,0.001469633,0.000900952,0.000179181,0.002444367,0.0,7,-0.06519993,0.09411672,0.03260131,0.16698153,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.000286818,0.000286818,-0.00549379,-0.07618286,-0.8,983.2698878,2511.619814,0.391488346,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
COD,1991,-0.002219787,-0.001785399,-0.000644849,-0.00015772,-0.002517714,0.0,7,-0.11392622,0.106057495,0.028792718,0.16698153,0.001,0.014350845,0.008747,0.007021,0.008705,0.0,0.0,0.000332162,0.000332162,-0.00549379,-0.10152069,-0.666666667,1467.753862,3999.405196,0.366993038,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
COG,1991,-0.003162842,-0.001256356,-0.000672432,-2.05e-05,-0.000365877,0.0,7,-0.007279794,0.07756795,0.019234471,0.16698153,0.0045,-0.095670156,0.008747,0.006642,0.006871,0.0,0.0,0.000310235,0.000310229,-0.00549379,-0.018608028,-0.4,286.165785,714.4053222,0.400565024,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
COL,1991,0.000446778,0.000349515,0.002303487,0.000653097,0.000680193,,7,-0.004122787,0.10422966,0.034772404,0.1669678,0.0095,0.03613617,0.006014,0.001478,0.000193,0.0,0.0,0.00020007,0.000200067,-0.005542085,-0.022663604,2.166666667,5397.518735,15209.73819,0.35487256,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CPV,1991,-0.003449701,0.000775152,-0.000109059,-0.000500755,-0.002271988,0.0,7,-0.038374435,0.058719516,0.04477441,0.16698153,,0.028154088,0.004174,0.000766,,0.0,0.0,0.000179775,0.000179775,-0.00549379,-0.071420506,0.0,40.36230686,113.3488379,0.356089287,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CRI,1991,0.000971979,0.002913399,0.003101826,0.000670605,0.003402876,0.0,7,-0.002349448,0.080394894,0.041143525,0.1669678,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.000241041,0.000241041,-0.005542085,-0.023667842,0.176470588,567.8499034,2143.535335,0.264912779,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CUB,1991,-0.000327022,-0.000534136,-6.39e-05,2.12e-05,-0.00094235,0.0,7,-0.124161415,0.092696466,0.045613784,0.1669678,0.0015,,0.005908,0.005059,,0.0,0.0,9.28e-05,9.28e-05,-0.005542085,-0.13902733,-0.85,1413.691368,4917.953165,0.287455232,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CYM,1991,-0.002544074,-0.002492096,-0.000796654,0.003997722,-0.000270383,0.0,7,,,,0.1669678,,,,,,,0.0,,,-0.005542085,,0.0,79.57953262,153.744418,0.517609248,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CYP,1991,0.000571727,-0.002747667,-0.000211341,-0.000212751,-0.001095152,0.0,7,,,,0.15959682,0.01,0.021972246,0.000939,0.003962,0.003962,0.01,0.0,,,-0.006785229,,5.666666667,368.2672028,1157.145726,0.318254818,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CZE,1991,0.009090447,0.007981545,0.01285783,0.011633459,0.009262003,,7,-0.11577595,0.092404,0.048930164,0.16392769,,,0.003222,0.006591,0.003233,,,-4.22e-06,-4.22e-06,-0.002113208,-0.13737428,0.0,4302.818529,13384.6113,0.321475046,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
