country,t,gross_output
AUT,1995,1621487.168
AUT,1996,1600079.299
AUT,1997,1438250.312
AUT,1998,1483884.986
AUT,1999,1478109.845
AUT,2000,2034989.034
AUT,2001,1378865.823
AUT,2002,1491658.633
AUT,2003,1840902.822
AUT,2004,2138890.18
AUT,2005,2273406.571
AUT,2006,2470187.113
AUT,2007,3581743.13
AUT,2008,4054681.043
AUT,2009,3659209.884
AUT,2010,3657935.292
AUT,2011,4093812.147
AUT,2012,3169989.754
AUT,2013,3326662.095
AUT,2014,3354532.52
AUT,2015,2300182.999
AUT,2016,1436489.739
AUT,2017,1528458.859
AUT,2018,1692847.862
AUT,2019,1657358.346
AUT,2020,1597776.264
AUT,2021,848285.406
AZE,1990,7827.017021
AZE,1991,8921.113743
AZE,1992,9269.748238
AZE,1993,8334.216799
AZE,1994,6979.797278
AZE,1995,6291.596951
AZE,1996,7120.119556
AZE,1997,8377.632346
AZE,1998,9623.398757
AZE,1999,9442.867413
AZE,2000,10080.41863
AZE,2001,10526.58725
AZE,2002,11402.05857
AZE,2003,13707.83831
AZE,2004,16534.10745
AZE,2005,22615.47586
AZE,2006,32537.67984
AZE,2007,47262.00369
AZE,2008,65659.2424
AZE,2009,62672.76237
AZE,2010,72983.39276
AZE,2011,86940.95511
AZE,2012,88708.58759
AZE,2013,97819.54552
AZE,2014,102056.1661
AZE,2015,99457.4281
BAN,2000,73355.42191
BAN,2007,130219.5674
BAN,2008,150602.8898
BAN,2009,168515.6936
BAN,2010,187015.5978
BAN,2011,201240.0157
BAN,2012,201240.0157
BAN,2013,257903.9957
BAN,2014,290989.5609
BAN,2015,326632.2841
BAN,2016,372625.2443
BAN,2017,414713.2478
BAN,2018,460496.1773
BAN,2019,515657.3427
BAN,2020,554055.4465
BAN,2021,621236.7954
BDI,1990,3162.168716
BDI,1991,3178.956
BDI,1992,2947.116161
BDI,1993,2685.304689
BDI,1994,2940.555864
BDI,1995,2743.293945
BDI,1996,2277.006585
BDI,1997,2478.355248
BDI,1998,2355.484861
BDI,1999,2113.739462
BDI,2000,1866.844781
BDI,2001,1773.926725
BDI,2002,1672.265375
BDI,2003,1640.70868
BDI,2004,1909.342026
BDI,2005,2068.266865
BDI,2006,2389.416651
BDI,2007,2478.668869
BDI,2008,3008.279674
BDI,2009,3553.814145
BDI,2010,4069.399331
BDI,2011,4586.942649
BDI,2012,4597.204206
BDI,2013,4900.38823
BDI,2014,5050.160967
BDI,2015,4965.046433
BEL,1965,37579.67645
BEL,1966,40621.27694
BEL,1967,43328.78813
BEL,1968,46547.31092
BEL,1969,51362.66897
BEL,1970,55908.69875
BEL,1971,63571.27441
BEL,1972,77681.85699
BEL,1973,99895.81467
BEL,1974,121544.3306
BEL,1975,127505.9203
BEL,1976,138910.3402
BEL,1977,160413.1955
BEL,1978,193097.1197
BEL,1979,223777.1357
BEL,1980,243973.3616
BEL,1981,201120.5021
BEL,1982,178882.8381
BEL,1983,170720.8079
BEL,1984,165434.7489
BEL,1985,169380.6868
BEL,1986,226277.9478
BEL,1987,280499.2439
BEL,1988,302566.0352
BEL,1989,308639.405
BEL,1990,843196.3617
BEL,1991,864238.1055
BEL,1992,971606.181
BEL,1993,918985.5753
BEL,1994,1010238.074
BEL,1995,2348062.731
BEL,1996,2300542.452
BEL,1997,2115841.763
BEL,1998,2183608.101
BEL,1999,2189958.978
BEL,2000,3046973.878
BEL,2001,2069088.456
BEL,2002,2201297.705
BEL,2003,2673583.425
BEL,2004,3137359.707
BEL,2005,3306751.458
BEL,2006,3590482.034
BEL,2007,5143789.616
BEL,2008,5800382.04
BEL,2009,5121301.205
BEL,2010,5261938.597
BEL,2011,5917789.434
BEL,2012,4601894.055
BEL,2013,4768156.906
BEL,2014,4823483.355
BEL,2015,3405343.536
BEL,2016,1976767.301
BEL,2017,2099530.61
BEL,2018,2228084.094
BEL,2019,2183859.608
BEL,2020,2110775.966
BEL,2021,1235615.174
BEN,1990,3147.670143
BEN,1991,3250.616207
BEN,1992,3679.722355
BEN,1993,3687.394639
BEN,1994,2587.384002
BEN,1995,3692.49011
BEN,1996,4027.998629
BEN,1997,3915.053193
BEN,1998,4338.553661
BEN,1999,4420.301461
BEN,2000,4591.532528
BEN,2001,4931.729623
BEN,2002,5509.050996
BEN,2003,6980.207314
BEN,2004,7942.963657
BEN,2005,8590.580847
BEN,2006,9418.224649
BEN,2007,10995.98048
BEN,2008,13182.38554
BEN,2009,13118.82804
BEN,2010,13090.37501
BEN,2011,14577.3542
BEN,2012,14904.43577
BEN,2013,16527.50917
BEN,2014,16978.74447
BEN,2015,16673.33161
BFA,1990,4828.176118
BFA,1991,4846.850611
BFA,1992,4907.250038
BFA,1993,4728.589201
BFA,1994,3457.394029
BFA,1995,4073.290563
BFA,1996,4349.676975
BFA,1997,4097.805143
BFA,1998,4625.286997
BFA,1999,4628.825848
BFA,2000,4278.791311
BFA,2001,4458.374696
BFA,2002,4802.368668
BFA,2003,6077.705616
BFA,2004,7214.781582
BFA,2005,7984.876901
BFA,2006,8600.204524
BFA,2007,9627.174441
BFA,2008,11927.90899
BFA,2009,12134.41149
BFA,2010,11921.95369
BFA,2011,14339.08195
BFA,2012,14722.35274
BFA,2013,15989.09409
BFA,2014,16485.92245
BFA,2015,16230.49292
BGD,1990,46868.27707
BGD,1991,49749.28593
BGD,1992,50982.82166
BGD,1993,53607.45461
BGD,1994,57383.99453
BGD,1995,127136.0078
BGD,1996,132999.5456
BGD,1997,138266.686
BGD,1998,144815.1445
BGD,1999,149963.8657
BGD,2000,151817.4437
BGD,2001,153249.3982
BGD,2002,160144.5774
BGD,2003,176288.921
BGD,2004,193370.9583
BGD,2005,209093.7109
BGD,2006,230886.4395
BGD,2007,265342.1652
BGD,2008,306065.433
BGD,2009,340642.7039
BGD,2010,382617.2511
BGD,2011,415839.1614
BGD,2012,433759.9092
BGD,2013,516878.6079
BGD,2014,567270.4282
BGD,2015,615183.0706
BGD,2016,399396.42
BGD,2017,450789.2044
BGD,2018,502713.1939
BGD,2019,554740.0104
BGD,2020,575456.888
BGR,1990,58407.16989
BGR,1991,23333.27618
BGR,1992,26912.66009
BGR,1993,32990.08864
BGR,1994,24574.9337
BGR,1995,96137.46188
BGR,1996,79457.08313
BGR,1997,75684.93225
BGR,1998,87870.81375
BGR,1999,85323.02557
BGR,2000,138618.6314
BGR,2001,121570.8423
BGR,2002,137257.7374
BGR,2003,178515.9406
BGR,2004,227638.2999
BGR,2005,263115.6423
BGR,2006,314452.1868
BGR,2007,510739.2673
BGR,2008,619387.16
BGR,2009,559924.3145
BGR,2010,539488.4535
BGR,2011,619902.2753
BGR,2012,482342.6969
BGR,2013,487497.3515
BGR,2014,512082.4369
BGR,2015,357476.1802
BGR,2016,218841.5768
BGR,2017,236709.8463
BGR,2018,274967.7195
BGR,2019,275974.9365
BGR,2020,276279.533
BGR,2021,158413.0001
BHR,1990,8210.940156
BHR,1991,8605.252477
BHR,1992,9255.945525
BHR,1993,9853.761078
BHR,1994,10542.50049
BHR,1995,10981.85911
BHR,1996,11386.28539
BHR,1997,11742.51942
BHR,1998,11657.7201
BHR,1999,12236.09872
BHR,2000,13808.54642
BHR,2001,13602.10619
BHR,2002,14446.94708
BHR,2003,16461.0459
BHR,2004,19138.21769
BHR,2005,22976.46498
BHR,2006,30747.41777
BHR,2007,38734.96135
BHR,2008,49578.93228
BHR,2009,42932.95972
BHR,2010,48603.97421
BHR,2011,57055.21455
BHR,2012,58231.19085
BHR,2013,62841.05777
BHR,2014,64527.81031
BHR,2015,63510.5741
BHS,1990,5567.273521
BHS,1991,5625.832608
BHS,1992,5653.178091
BHS,1993,5674.232112
BHS,1994,6061.15605
BHS,1995,6536.388815
BHS,1996,7065.124639
BHS,1997,7670.122203
BHS,1998,8898.541084
BHS,1999,10201.30544
BHS,2000,10625.6585
BHS,2001,11023.67743
BHS,2002,11602.44425
BHS,2003,11673.21451
BHS,2004,12134.42152
BHS,2005,13421.66555
BHS,2006,14373.03111
BHS,2007,15023.90799
BHS,2008,15113.76481
BHS,2009,13962.08377
BHS,2010,14344.85409
BHS,2011,14765.80827
BHS,2012,15165.84701
BHS,2013,15451.0103
BHS,2014,15932.73185
BHS,2015,15581.38234
BHU,2000,678.929039
BHU,2007,1943.368496
BHU,2008,2085.145492
BHU,2009,1973.958814
BHU,2010,2690.980118
BHU,2011,3069.646329
BHU,2012,3107.323108
BHU,2013,3025.658696
BHU,2014,3230.243068
BHU,2015,3201.514867
BHU,2016,3255.668379
BHU,2017,4034.966712
BHU,2018,3945.401654
BHU,2019,3976.670342
BHU,2020,3342.54542
BHU,2021,3748.821312
BIH,1990,15908.05989
BIH,1991,12526.23935
BIH,1992,9819.709012
BIH,1993,7587.429635
BIH,1994,5746.536937
BIH,1995,4369.034547
BIH,1996,5880.010271
BIH,1997,7530.406554
BIH,1998,8826.962077
BIH,1999,9897.015313
BIH,2000,11191.99516
BIH,2001,11932.85906
BIH,2002,13879.162
BIH,2003,17811.08636
BIH,2004,21295.24328
BIH,2005,22236.42513
BIH,2006,25120.59053
BIH,2007,31090.72233
BIH,2008,38266.50671
BIH,2009,34624.29289
BIH,2010,34045.97428
BIH,2011,37299.88653
BIH,2012,37296.73495
BIH,2013,39399.52211
BIH,2014,40389.33314
BIH,2015,39470.04493
BLR,1990,424.7221328
BLR,1991,318.3850959
BLR,1992,568.5148781
BLR,1993,574.6339162
BLR,1994,609.2964907
BLR,1995,33518.47668
BLR,1996,31859.63247
BLR,1997,32856.12874
BLR,1998,35358.33874
BLR,1999,29015.58423
BLR,2000,25645.84344
BLR,2001,29014.42654
BLR,2002,31372.26273
BLR,2003,37085.57822
BLR,2004,48941.46915
BLR,2005,62703.6558
BLR,2006,77355.4468
BLR,2007,95476.31078
BLR,2008,128348.3068
BLR,2009,103462.4205
BLR,2010,123996.1521
BLR,2011,141739.2247
BLR,2012,147332.7148
BLR,2013,157880.353
BLR,2014,157642.2126
BLR,2015,112670.2029
BLR,2016,92789.90539
BLR,2017,109328.8072
BLR,2018,119475.4148
