sect,source,sect_name,sect_group
21,adb,"21-Retail trade, except of motor vehicles and motorcycles; repair of household goods",Services
22,adb,22-Hotels and restaurants,Services
23,adb,23-Inland transport,Services
24,adb,24-Water transport,Services
25,adb,25-Air transport,Services
26,adb,26-Other supporting and auxiliary transport activities; activities of travel agencies,Services
27,adb,27-Post and telecommunications,Services
28,adb,28-Financial intermediation,Services
29,adb,29-Real estate activities,Services
30,adb,30-Renting of M&Eq and other business activities,Services
31,adb,31-Public administration and defense; compulsory social security,Services
32,adb,32-Education,Services
33,adb,33-Health and social work,Services
34,adb,"34-Other community, social, and personal services",Services
35,adb,35-Private households with employed persons,Services
1,tiva,"1-Agriculture, hunting, forestry","Agriculture, forestry and fishing"
2,tiva,2-Fishing and aquaculture,"Agriculture, forestry and fishing"
3,tiva,"3-Mining and quarrying, energy producing products",Mining and Quarrying
4,tiva,"4-Mining and quarrying, non-energy producing products",Mining and Quarrying
5,tiva,5-Mining support service activities,Services
6,tiva,"6-Food products, beverages and tobacco",Manufacturing
7,tiva,"7-Textiles, textile products, leather and footwear",Manufacturing
8,tiva,8-Wood and products of wood and cork,Manufacturing
9,tiva,9-Paper products and printing,Manufacturing
10,tiva,10-Coke and refined petroleum products,Manufacturing
11,tiva,11-Chemical and chemical products,Manufacturing
12,tiva,"12-Pharmaceuticals, medicinal chemical and botanical products",Manufacturing
13,tiva,13-Rubber and plastics products,Manufacturing
14,tiva,14-Other non-metallic mineral products,Manufacturing
15,tiva,15-Basic metals,Manufacturing
16,tiva,16-Fabricated metal products,Manufacturing
17,tiva,"17-Computer, electronic and optical equipment",Manufacturing
18,tiva,18-Electrical equipment,Manufacturing
19,tiva,"19-Machinery and equipment, nec",Manufacturing
20,tiva,"20-Motor vehicles, trailers and semi-trailers",Manufacturing
21,tiva,21-Other transport equipment,Manufacturing
22,tiva,22-Manufacturing nec; repair and installation of machinery and equipment,Manufacturing
23,tiva,"23-Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water"
24,tiva,"24-Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water"
25,tiva,25-Construction,Construction
26,tiva,26-Wholesale and retail trade; repair of motor vehicles,Services
27,tiva,27-Land transport and transport via pipelines,Services
28,tiva,28-Water transport,Services
29,tiva,29-Air transport,Services
30,tiva,30-Warehousing and support activities for transportation,Services
31,tiva,31-Postal and courier activities,Services
32,tiva,32-Accommodation and food service activities,Services
33,tiva,"33-Publishing, audiovisual and broadcasting activities",Services
34,tiva,34-Telecommunications,Services
35,tiva,35-IT and other information services,Services
36,tiva,36-Financial and insurance activities,Services
37,tiva,37-Real estate activities,Services
38,tiva,"38-Professional, scientific and technical activities",Services
39,tiva,39-Administrative and support services,Services
40,tiva,40-Public administration and defence; compulsory social security,Services
41,tiva,41-Education,Services
42,tiva,42-Human health and social work activities,Services
43,tiva,"43-Arts, entertainment and recreation",Services
44,tiva,44-Other service activities,Services
45,tiva,45-Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services

