country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix
IRL,10,2010,eora,-4365.0423364528,-371.474932305386,-2374.279903543863,-1619.28750060354,-323.548144928909,-355.451618393299,-940.2877372813318
IRL,10,2010,wiodo,-474.14823616489,186.67829699145202,-180.739416653969,-480.08711650237706,-390.21882906534904,-71.24940652038501,-18.618880916643093
IRL,10,2010,wiodn,-1892.438904566826,-351.0861297376602,-690.612335736971,-850.7404390921939,-101.16732000532349,-125.9358600735634,-623.637259013307
IRL,10,2010,tiva,5912.994003184506,430.48444241367116,2661.471535844803,2821.0380249260306,796.1674731510675,503.1949923840924,1521.6755593908708
IRL,10,2011,eora,-3323.57519954156,-276.10248422296195,-1737.299639527274,-1310.17307579132,-240.91694109128605,-285.44481801279204,-783.8113166872417
IRL,10,2011,wiodo,-592.40438299276,199.12268825630102,-201.83904932913504,-589.6880219199269,-428.5478958231989,-81.479264885687,-79.66086121104115
IRL,10,2011,wiodn,-1909.785577491456,-325.201040460018,-687.146876674247,-897.4376603571931,-125.22277925118561,-127.23875121589299,-644.9761298901144
IRL,10,2011,tiva,5842.009766025776,762.855411804998,2777.722390877416,2301.43196334336,607.3137577703836,486.289264555572,1207.8289410174045
IRL,10,2012,eora,-3296.9085250767803,-629.870960957594,-1855.2916649721199,-811.7458991470601,-36.958395107510114,-276.15872645441505,-498.62877758513514
IRL,10,2012,wiodn,-2539.580694650198,-139.1872916865576,-919.9154191007551,-1480.47798386289,-570.733632500825,-206.32292900392042,-703.4214223581442
IRL,10,2012,tiva,6756.092151726968,853.2010208182736,3155.355151279855,2747.53597962884,723.1858183396761,468.7260950617424,1555.6240662274213
IRL,10,2013,eora,-4115.044799370849,-704.7921312632279,-2194.62068238146,-1215.63198572616,-131.55630958129495,-254.92021569471902,-829.1554604501462
IRL,10,2013,wiodn,-2627.500876590956,-117.7183933706348,-964.228039791285,-1545.5544434290382,-595.1640186298439,-220.7200593000724,-729.670365499122
IRL,10,2013,tiva,6858.550921961826,1404.0846809859627,2974.618152017405,2479.8480889584584,508.51340152227885,350.6080521884294,1620.7266352477502
IRL,10,2014,eora,-4210.30096555179,-1279.238848710505,-1978.90784154461,-952.1542752966702,92.62292320419499,-125.739409063181,-919.0377894376842
IRL,10,2014,wiodn,-2662.6047085317996,-133.8624094976558,-995.868845274477,-1532.873453759672,-600.131075302298,-229.98887286863638,-702.7535055887375
IRL,10,2014,tiva,7212.86840808358,1455.3462140014408,3263.1614339504167,2494.360760131732,634.214841092068,354.17643539164936,1505.9694836480146
IRL,10,2015,eora,-4722.24418319335,-1309.675174311732,-2279.5240047406796,-1133.0450041409501,-77.092450671047,-150.60847965366997,-905.3440738162328
IRL,10,2015,tiva,10008.159886193349,846.4174355578821,6413.82299202031,2747.9194586151507,467.11412012038295,1001.2871602864241,1279.518178208344
IRL,10,2016,tiva,-772.4346889999997,427.40217885240986,-732.19272097051,-467.64414688189026,-254.487944380866,1.5679159115700259,-214.7241184125951
IRL,10,2017,tiva,1300.642715,-459.4052183658099,764.9159414461501,995.1319919196494,156.97742948226903,488.31843820732,349.83612423006116
IRL,10,2018,tiva,16.330087000000276,822.7954832966599,-698.9690420900097,-107.49635420664981,95.4763398932671,-306.1824114448302,103.20971734491286
IRL,10,2019,tiva,-3189.090236,-373.8083172849899,-1768.56960160389,-1046.7123171111198,-259.76438801082213,-299.61068913747,-487.3372399628279
IRL,10,2020,tiva,1874.497136,-150.07135028721996,1422.98293933283,601.5855469543903,86.38204786040308,321.8964163689302,193.30708272505694
IRN,10,1990,eora,,,,,,,
IRN,10,1991,eora,240.66205888021886,193.54155673885998,32.706297629934966,14.414204511417097,19.59857369957001,-0.2741835820762404,-4.910185606076666
IRN,10,1992,eora,1200.6616860060803,1211.8752310629397,-17.644266731555035,6.43072167469802,-25.88118381782101,10.11152697994866,22.20037851257031
IRN,10,1993,eora,96.96607894086992,201.18390808827007,-69.78308029962795,-34.43474884777703,-40.691869456109,5.689836596971599,0.5672840113604423
IRN,10,1994,eora,52.87482958655983,168.26567073303977,-81.27114582887998,-34.119695317592004,-29.233810126815,3.4134948172217996,-8.299380007998792
IRN,10,1995,eora,215.8425067584103,143.93381872245027,38.112734427995974,33.795953607952015,29.92335381971799,-0.39496429359889973,4.267564081832845
IRN,10,1996,eora,259.85620144441964,162.26253827191977,62.80152562501701,34.79213754750003,26.355164012998017,1.694713079472102,6.742260455029864
IRN,10,1997,eora,-355.38074087131827,-311.21975366532934,-36.74588597828415,-7.415101227711034,-5.364158720373041,1.249854558160699,-3.3007970654986423
IRN,10,1998,eora,106.68415294869828,150.4256138178298,-28.81559437388694,-14.92586649524901,-5.470031618400981,-2.5587987576904005,-6.897036119157633
IRN,10,1999,eora,-41.66563979681996,-95.70985265787021,40.69502888137504,13.349183979677036,-0.28938489394596445,6.129072048092201,7.509496825530817
IRN,10,2000,eora,-334.2240139983696,-500.80573308665043,105.86837137301802,60.71334771526898,43.88800861845897,3.463735075160301,13.361604021649697
