country,t,gross output
BGR,2011,18783.9169884
BGR,2012,18872.7275761
BGR,2013,19367.5820724
BGR,2014,19548.1043188
BGR,2015,19034.9428535
BHR,1990,772.767073514
BHR,1991,818.702937438
BHR,1992,879.133847849
BHR,1993,944.7168066270001
BHR,1994,1035.917624173
BHR,1995,1085.648888489
BHR,1996,1121.673938218
BHR,1997,1166.945990224
BHR,1998,1155.50079618
BHR,1999,1201.67996343
BHR,2000,1382.21293674
BHR,2001,1327.02690229
BHR,2002,1412.49884825
BHR,2003,1590.5668744099999
BHR,2004,1868.60433164
BHR,2005,2277.31380763
BHR,2006,3321.4505351999996
BHR,2007,4347.559478200001
BHR,2008,5698.06378329
BHR,2009,4819.23396592
BHR,2010,5434.86191887
BHR,2011,6407.01553493
BHR,2012,6501.185295470001
BHR,2013,6984.553629120001
BHR,2014,7068.74839169
BHR,2015,6899.017558490001
BHS,1990,495.80887006
BHS,1991,500.93165041
BHS,1992,503.69609874
BHS,1993,506.96756338
BHS,1994,550.4388379
BHS,1995,607.15225
BHS,1996,667.35913122
BHS,1997,722.34998999
BHS,1998,841.14510106
BHS,1999,952.90036417
BHS,2000,1117.97675695
BHS,2001,1033.37379302
BHS,2002,1078.14944852
BHS,2003,1041.64695584
BHS,2004,1076.22614109
BHS,2005,1180.5888461700001
BHS,2006,1265.7945466699998
BHS,2007,1316.6137828699998
BHS,2008,1303.1525103200001
BHS,2009,1179.80792431
BHS,2010,1213.29418812
BHS,2011,1258.83256936
BHS,2012,1287.57633532
BHS,2013,1307.0435030899998
BHS,2014,1338.38263867
BHS,2015,1285.75361142
BIH,1990,1918.0454042
BIH,1991,1513.13844304
BIH,1992,1182.47598451
BIH,1993,913.32679539
BIH,1994,700.2786594730001
BIH,1995,531.163366966
BIH,1996,702.881199499
BIH,1997,892.449749739
BIH,1998,1003.5879026
BIH,1999,1115.5152022299999
BIH,2000,1249.38827919
BIH,2001,1346.52789248
BIH,2002,1561.13716574
BIH,2003,2024.01663705
BIH,2004,2451.73722067
BIH,2005,2833.0400329100003
BIH,2006,3488.4115708199997
BIH,2007,4457.26273614
BIH,2008,5471.17474633
BIH,2009,4826.92818909
BIH,2010,4900.9017176
BIH,2011,5379.20837961
BIH,2012,5482.64803339
BIH,2013,5770.79920718
BIH,2014,5864.171616080001
BIH,2015,5748.02041232
BLR,1990,51.908879272
BLR,1991,39.844084022000004
BLR,1992,66.830181956
BLR,1993,69.953225159
BLR,1994,75.576034979
BLR,1995,74.141848055
BLR,1996,76.326819629
BLR,1997,90.172333028
BLR,1998,122.355196155
BLR,1999,111.452886494
BLR,2000,150.210869637
BLR,2001,137.307599982
BLR,2002,145.292051079
BLR,2003,159.855503406
BLR,2004,204.652261754
BLR,2005,242.29961995999997
BLR,2006,293.02291944
BLR,2007,364.27527139
BLR,2008,481.44782542
BLR,2009,341.47862699
BLR,2010,413.93182158
BLR,2011,519.57759072
BLR,2012,542.04084124
BLR,2013,533.85722013
BLR,2014,589.96029421
BLR,2015,551.3999348899999
BLZ,1990,108.005434013
BLZ,1991,110.18338968100001
BLZ,1992,123.724541328
BLZ,1993,131.891551199
BLZ,1994,140.079953319
BLZ,1995,150.893577512
BLZ,1996,184.879419151
BLZ,1997,182.278808401
BLZ,1998,184.35774731499998
BLZ,1999,201.145851755
BLZ,2000,247.73883134300002
BLZ,2001,244.263707929
BLZ,2002,256.190417252
BLZ,2003,271.867817133
BLZ,2004,298.94842869499996
BLZ,2005,323.31699667099997
BLZ,2006,360.12339998
BLZ,2007,387.583139377
BLZ,2008,425.508407038
BLZ,2009,395.47257240600004
BLZ,2010,435.26664095
BLZ,2011,481.91442568
BLZ,2012,491.12133528
BLZ,2013,510.34116663
BLZ,2014,523.5411514699999
BLZ,2015,499.80845061
BMU,1990,250.752040543
BMU,1991,256.558165169
BMU,1992,263.346291382
BMU,1993,271.507619931
BMU,1994,283.844190271
BMU,1995,298.942662473
BMU,1996,314.734511494
BMU,1997,333.597532248
BMU,1998,366.69989003499995
BMU,1999,389.085606594
BMU,2000,412.137748278
BMU,2001,410.23490342599996
BMU,2002,454.26962520300003
BMU,2003,467.781842251
BMU,2004,535.332755052
BMU,2005,592.586080995
BMU,2006,655.80870696
BMU,2007,702.67627416
BMU,2008,731.28760874
BMU,2009,679.21614608
BMU,2010,674.92293705
BMU,2011,708.92911051
BMU,2012,695.02434724
BMU,2013,701.80114979
BMU,2014,713.29610869
BMU,2015,681.59110867
BOL,1990,1881.43044745
BOL,1991,2080.65243488
BOL,1992,2239.88685046
BOL,1993,2294.59698304
BOL,1994,2400.77133453
BOL,1995,2693.30916117
BOL,1996,2973.82495027
BOL,1997,3208.88757597
BOL,1998,3481.90489532
BOL,1999,3411.7235470899996
BOL,2000,3482.09788656
BOL,2001,3393.31928282
BOL,2002,3288.82534963
