country,t,outp,gross output,trans_outp_p,trans_diff
GHA,1991,707.046549745768,16975.485543159175,0.0416510354268302,-0.00037774316008239855
GHA,1992,701.850176358115,16936.25731138175,0.0414406892534897,-0.00021034617334050182
GHA,1993,613.07833750893,14317.23369810055,0.0428210051212802,0.0013803158677905061
GHA,1994,555.230594870242,12906.169971160843,0.0430205549834628,0.0001995498621825964
GHA,1995,647.796272995594,15372.334788356877,0.0421403958419016,-0.0008801591415611987
GHA,1996,691.723127551583,16466.86342741157,0.0420069754389355,-0.00013342040296610014
GHA,1997,674.58414072671,16592.44949381085,0.0406560912527313,-0.0013508841862042015
GHA,1998,780.023746250012,18542.449818950387,0.0420669196285394,0.0014108283758081028
GHA,1999,809.1701558594759,19295.678556614108,0.0419353045027852,-0.0001316151257542003
GHA,2000,553.131020602964,12951.82233409953,0.0427068103881167,0.0007715058853315013
GHA,2001,577.854553035261,13529.558989163492,0.0427105239348964,3.7135467796933774e-06
GHA,2002,672.351793167312,15799.45260881576,0.0425553852917761,-0.00015513864312029918
GHA,2003,804.291528070951,19365.38640269202,0.0415324285994698,-0.001022956692306294
GHA,2004,960.1768235540592,23001.384408175854,0.0417443057563423,0.00021187715687249337
GHA,2005,1168.00129581164,28301.34494678889,0.0412701692448776,-0.000474136511464697
GHA,2006,1383.64786655257,33474.49734791936,0.0413343881514197,6.42189065421031e-05
GHA,2007,1690.65036087845,40511.78723005969,0.0417323074708486,0.0003979193194288966
GHA,2008,1977.49178679594,47678.19965226458,0.0414758065786574,-0.00025650089219120265
GHA,2009,1749.22462253601,42261.71753423998,0.0413902871107594,-8.55194678979973e-05
GHA,2010,2073.65476102735,50316.626330406485,0.041212118384301,-0.00017816872645839976
GHA,2011,2688.22803070037,63510.56177840846,0.0423272595207035,0.0011151411364025005
GHA,2012,2663.40447671647,64318.996940630015,0.0414092974611364,-0.0009179620595671026
GHA,2013,3063.75023951795,75325.89613142675,0.0406732663913137,-0.0007360310698226943
GHA,2014,3116.01533013527,76618.41208321335,0.0406692757708296,-3.990620484103924e-06
GHA,2015,2994.79027497107,74648.59100983402,0.0401185104026483,-0.0005507653681812996
GIN,1990,279.626695053197,5940.862103133631,0.0470683699097648,
GIN,1991,293.448842505859,6213.643807625734,0.0472265310968939,0.00015816118712910082
GIN,1992,324.705585331367,6971.350560114072,0.0465771420518055,-0.0006493890450883985
GIN,1993,319.616810059681,6885.455646717764,0.0464191226345404,-0.00015801941726509977
